Zipcode,Cost less than $100,Cost from $100 to $199,Cost from $200 to $299,Cost from $300 to $399,Cost from $400 to $499,Cost from $500 to $599,Cost from $600 to $699,Cost from $700 to $799,Cost from $800 to $899,Cost from $900 to $999,Cost from $1k to $1.499k,Cost from $1.5k to 1.999k,Cost from $2k to $2.499,Cost from $2.5k to $2.999k
77562,17.0,130.0,173.0,255.0,252.0,133.0,233.0,301.0,227.0,326.0,958.0,365.0,143.0,25.0
77571,4.0,184.0,280.0,399.0,845.0,879.0,743.0,553.0,741.0,699.0,3624.0,2343.0,817.0,166.0
77586,0.0,25.0,34.0,116.0,226.0,313.0,482.0,706.0,713.0,636.0,1556.0,1301.0,2111.0,17.0
77587,13.0,143.0,230.0,467.0,333.0,588.0,580.0,256.0,351.0,279.0,1051.0,229.0,54.0,143.0
77598,0.0,9.0,64.0,87.0,178.0,404.0,920.0,1279.0,1425.0,1341.0,3228.0,668.0,207.0,95.0
77002,9.0,0.0,84.0,8.0,172.0,115.0,111.0,155.0,122.0,102.0,1153.0,506.0,457.0,41.0
77003,29.0,174.0,99.0,221.0,519.0,330.0,339.0,213.0,161.0,314.0,583.0,644.0,510.0,119.0
77004,32.0,203.0,419.0,409.0,616.0,1292.0,1315.0,1150.0,780.0,500.0,2210.0,1556.0,1785.0,269.0
77005,0.0,0.0,3.0,18.0,10.0,78.0,234.0,292.0,239.0,83.0,1314.0,1477.0,5533.0,139.0
77006,10.0,0.0,23.0,41.0,176.0,485.0,758.0,954.0,1252.0,865.0,2496.0,1852.0,2538.0,145.0
77007,20.0,70.0,204.0,295.0,402.0,406.0,377.0,603.0,895.0,805.0,3685.0,2656.0,5277.0,245.0
77008,9.0,156.0,316.0,349.0,675.0,707.0,658.0,1274.0,897.0,947.0,2894.0,1839.0,3693.0,328.0
77009,153.0,179.0,547.0,876.0,911.0,1036.0,1567.0,1029.0,882.0,875.0,2991.0,1452.0,1176.0,372.0
77010,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,337.0,0.0
77011,14.0,200.0,451.0,716.0,634.0,754.0,689.0,280.0,434.0,304.0,699.0,55.0,17.0,260.0
77012,101.0,183.0,307.0,409.0,455.0,1009.0,959.0,656.0,513.0,265.0,962.0,71.0,96.0,235.0
77013,22.0,96.0,369.0,216.0,246.0,642.0,533.0,662.0,725.0,446.0,1258.0,136.0,58.0,64.0
77014,45.0,54.0,164.0,309.0,330.0,1076.0,906.0,957.0,1302.0,750.0,2125.0,1467.0,674.0,54.0
77015,13.0,307.0,752.0,1077.0,949.0,1429.0,1859.0,1723.0,1335.0,1571.0,4086.0,812.0,409.0,268.0
77016,97.0,510.0,831.0,993.0,982.0,713.0,809.0,840.0,459.0,552.0,1554.0,350.0,25.0,505.0
77017,68.0,212.0,534.0,630.0,679.0,935.0,1338.0,930.0,1025.0,506.0,2415.0,453.0,33.0,141.0
77018,60.0,214.0,258.0,377.0,828.0,898.0,1196.0,835.0,394.0,374.0,1651.0,1643.0,1732.0,260.0
77019,6.0,75.0,179.0,85.0,75.0,130.0,391.0,501.0,590.0,453.0,2367.0,1835.0,3137.0,110.0
77020,114.0,410.0,583.0,885.0,1210.0,778.0,909.0,771.0,505.0,466.0,785.0,220.0,141.0,323.0
77021,63.0,270.0,708.0,655.0,546.0,747.0,708.0,922.0,941.0,739.0,2035.0,493.0,610.0,329.0
77022,48.0,367.0,763.0,1136.0,728.0,821.0,974.0,952.0,703.0,469.0,1538.0,198.0,94.0,254.0
77023,28.0,190.0,379.0,566.0,873.0,1417.0,1214.0,1206.0,542.0,433.0,1654.0,430.0,227.0,296.0
77024,7.0,36.0,63.0,138.0,180.0,371.0,482.0,423.0,741.0,528.0,2893.0,2110.0,6312.0,152.0
77025,13.0,34.0,143.0,138.0,330.0,536.0,897.0,1034.0,972.0,936.0,2577.0,1060.0,2858.0,162.0
77026,36.0,435.0,724.0,751.0,996.0,1180.0,1171.0,646.0,563.0,298.0,654.0,139.0,36.0,226.0
77027,0.0,0.0,21.0,12.0,51.0,55.0,205.0,650.0,946.0,527.0,2579.0,1509.0,2239.0,80.0
77028,74.0,280.0,1120.0,633.0,487.0,442.0,343.0,375.0,299.0,420.0,696.0,135.0,0.0,217.0
77029,28.0,216.0,476.0,739.0,609.0,453.0,570.0,514.0,316.0,479.0,969.0,37.0,75.0,137.0
77030,0.0,33.0,11.0,20.0,114.0,71.0,194.0,478.0,326.0,227.0,1264.0,1072.0,1210.0,99.0
77031,0.0,13.0,84.0,121.0,425.0,836.0,717.0,662.0,390.0,275.0,1250.0,765.0,201.0,26.0
77032,5.0,162.0,399.0,290.0,138.0,260.0,153.0,452.0,571.0,443.0,966.0,125.0,26.0,239.0
77033,28.0,536.0,1010.0,904.0,725.0,745.0,494.0,642.0,853.0,934.0,1430.0,74.0,65.0,332.0
77034,0.0,77.0,249.0,559.0,649.0,869.0,1069.0,1201.0,920.0,1141.0,3073.0,1143.0,247.0,123.0
77035,10.0,202.0,320.0,334.0,720.0,1350.0,2235.0,1799.0,991.0,777.0,2396.0,1164.0,721.0,181.0
77036,40.0,221.0,456.0,646.0,1869.0,3933.0,4613.0,3358.0,2412.0,1210.0,2807.0,689.0,229.0,445.0
77037,0.0,163.0,365.0,393.0,263.0,623.0,241.0,418.0,543.0,349.0,1307.0,340.0,152.0,39.0
77038,0.0,45.0,112.0,234.0,409.0,517.0,625.0,610.0,579.0,671.0,2742.0,729.0,120.0,110.0
77039,47.0,156.0,444.0,422.0,519.0,606.0,1015.0,650.0,561.0,332.0,1772.0,448.0,110.0,67.0
77040,41.0,64.0,140.0,483.0,682.0,1086.0,1087.0,1067.0,1514.0,1409.0,5187.0,2000.0,1206.0,110.0
77041,26.0,218.0,244.0,305.0,401.0,406.0,606.0,390.0,467.0,737.0,3459.0,1854.0,2089.0,182.0
77042,57.0,18.0,83.0,202.0,417.0,1005.0,2113.0,2152.0,2051.0,1775.0,4913.0,866.0,1503.0,138.0
77043,27.0,64.0,121.0,204.0,424.0,476.0,785.0,940.0,1102.0,801.0,1827.0,640.0,596.0,176.0
77044,0.0,139.0,236.0,223.0,544.0,435.0,236.0,347.0,366.0,291.0,2975.0,1600.0,2436.0,73.0
77045,35.0,228.0,412.0,838.0,751.0,577.0,544.0,484.0,693.0,423.0,3212.0,763.0,124.0,298.0
77046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,0.0,325.0,187.0,223.0,14.0
77047,0.0,118.0,232.0,430.0,384.0,435.0,388.0,328.0,511.0,481.0,2803.0,1463.0,239.0,183.0
77048,57.0,191.0,318.0,414.0,414.0,427.0,381.0,605.0,417.0,275.0,1176.0,422.0,149.0,76.0
77049,0.0,127.0,257.0,287.0,125.0,348.0,480.0,404.0,857.0,628.0,2546.0,1935.0,528.0,147.0
77050,9.0,11.0,38.0,169.0,188.0,105.0,206.0,51.0,125.0,118.0,263.0,9.0,9.0,23.0
77051,112.0,372.0,523.0,472.0,551.0,458.0,389.0,534.0,317.0,469.0,987.0,167.0,21.0,310.0
77054,0.0,15.0,19.0,101.0,137.0,386.0,791.0,1769.0,1639.0,1544.0,3808.0,1000.0,346.0,66.0
77055,0.0,152.0,265.0,445.0,334.0,902.0,1533.0,1926.0,1823.0,894.0,2770.0,943.0,2217.0,223.0
77056,14.0,0.0,43.0,43.0,50.0,49.0,70.0,428.0,501.0,717.0,2743.0,1219.0,3470.0,75.0
77057,20.0,68.0,148.0,82.0,336.0,784.0,1719.0,2646.0,1892.0,1335.0,5319.0,2405.0,3020.0,114.0
77058,0.0,7.0,63.0,78.0,154.0,466.0,818.0,1079.0,960.0,980.0,2396.0,590.0,613.0,100.0
77059,12.0,17.0,15.0,66.0,85.0,131.0,163.0,235.0,226.0,357.0,1019.0,1437.0,2203.0,0.0
77060,28.0,184.0,196.0,321.0,655.0,1672.0,2646.0,2019.0,1404.0,1136.0,1949.0,540.0,44.0,265.0
77061,32.0,29.0,236.0,212.0,455.0,1457.0,1499.0,1092.0,845.0,425.0,1195.0,565.0,201.0,124.0
77062,0.0,100.0,153.0,312.0,388.0,404.0,478.0,470.0,546.0,469.0,2516.0,2328.0,1472.0,48.0
77063,39.0,16.0,102.0,196.0,329.0,736.0,2044.0,2581.0,1755.0,1846.0,4600.0,1590.0,1436.0,51.0
77064,0.0,124.0,184.0,198.0,373.0,964.0,812.0,715.0,985.0,1525.0,5368.0,2606.0,1444.0,84.0
77065,0.0,82.0,40.0,313.0,276.0,526.0,516.0,1278.0,1570.0,1498.0,4984.0,1930.0,1003.0,176.0
77066,17.0,13.0,97.0,237.0,438.0,648.0,459.0,721.0,716.0,456.0,3261.0,1971.0,423.0,57.0
77067,16.0,27.0,99.0,156.0,339.0,1015.0,1107.0,1040.0,885.0,716.0,2551.0,964.0,205.0,54.0
77068,0.0,0.0,30.0,60.0,115.0,235.0,281.0,403.0,212.0,221.0,705.0,791.0,681.0,13.0
77069,0.0,0.0,56.0,121.0,382.0,269.0,424.0,335.0,642.0,863.0,2245.0,882.0,1387.0,30.0
77070,18.0,87.0,208.0,287.0,442.0,683.0,695.0,849.0,1575.0,1585.0,5845.0,3829.0,1742.0,87.0
77071,41.0,74.0,220.0,301.0,660.0,1059.0,870.0,542.0,790.0,785.0,2618.0,1045.0,588.0,53.0
77072,34.0,161.0,418.0,702.0,656.0,1295.0,1497.0,2217.0,1629.0,1662.0,4724.0,1416.0,281.0,392.0
77073,0.0,38.0,162.0,59.0,319.0,430.0,665.0,604.0,918.0,1114.0,4000.0,2257.0,517.0,77.0
77074,0.0,124.0,325.0,381.0,651.0,1559.0,1527.0,1289.0,1068.0,796.0,3005.0,581.0,294.0,194.0
77075,17.0,125.0,193.0,381.0,352.0,869.0,1222.0,1211.0,1129.0,657.0,3839.0,1576.0,213.0,100.0
77076,75.0,341.0,398.0,500.0,630.0,1013.0,1058.0,1028.0,860.0,690.0,2045.0,345.0,67.0,130.0
77077,141.0,0.0,134.0,272.0,337.0,1379.0,1742.0,2032.0,2381.0,1616.0,7448.0,2886.0,3225.0,221.0
77078,0.0,150.0,218.0,476.0,287.0,204.0,723.0,641.0,239.0,469.0,923.0,153.0,66.0,159.0
77079,12.0,0.0,145.0,151.0,198.0,401.0,561.0,603.0,790.0,1018.0,3198.0,1444.0,3409.0,96.0
77080,9.0,174.0,288.0,430.0,766.0,1028.0,2134.0,2414.0,1328.0,1235.0,3471.0,1083.0,420.0,146.0
77081,13.0,13.0,33.0,96.0,810.0,2193.0,3666.0,3123.0,1892.0,1127.0,1627.0,345.0,304.0,95.0
77082,21.0,70.0,110.0,229.0,463.0,620.0,1488.0,1403.0,1838.0,2293.0,7200.0,2190.0,1405.0,261.0
77083,0.0,106.0,301.0,513.0,681.0,968.0,1008.0,969.0,1080.0,1279.0,7872.0,3942.0,1273.0,419.0
77084,12.0,62.0,170.0,630.0,1007.0,900.0,1765.0,2079.0,2051.0,2207.0,12631.0,6055.0,1885.0,310.0
77085,9.0,29.0,142.0,325.0,159.0,250.0,287.0,143.0,180.0,317.0,2048.0,654.0,56.0,121.0
77086,0.0,88.0,154.0,426.0,372.0,431.0,584.0,723.0,456.0,831.0,2841.0,639.0,51.0,108.0
77087,57.0,205.0,734.0,661.0,1172.0,1404.0,1104.0,872.0,816.0,623.0,2503.0,489.0,51.0,87.0
77088,134.0,435.0,502.0,919.0,1282.0,1195.0,1129.0,1156.0,1375.0,878.0,4846.0,1740.0,331.0,278.0
77089,0.0,181.0,282.0,469.0,543.0,808.0,821.0,1344.0,1169.0,958.0,5355.0,2931.0,1288.0,161.0
77090,0.0,137.0,76.0,120.0,281.0,845.0,1297.0,1898.0,1388.0,1838.0,3637.0,1103.0,375.0,72.0
77091,52.0,204.0,394.0,823.0,752.0,896.0,1317.0,885.0,816.0,440.0,1414.0,256.0,211.0,100.0
77092,43.0,179.0,435.0,432.0,996.0,1496.0,1731.0,1856.0,1118.0,919.0,2368.0,757.0,169.0,88.0
77093,82.0,680.0,1001.0,1123.0,1108.0,1341.0,1098.0,911.0,610.0,779.0,1750.0,404.0,72.0,427.0
77094,0.0,0.0,0.0,20.0,44.0,49.0,99.0,82.0,92.0,184.0,475.0,368.0,1588.0,38.0
77095,0.0,0.0,128.0,111.0,417.0,828.0,1068.0,988.0,1072.0,1193.0,6664.0,6213.0,4288.0,134.0
77096,0.0,181.0,269.0,283.0,391.0,1067.0,1438.0,1667.0,1187.0,908.0,2678.0,1141.0,2618.0,86.0
77098,44.0,14.0,26.0,57.0,52.0,193.0,347.0,458.0,274.0,578.0,2050.0,1633.0,1969.0,40.0
77099,63.0,206.0,294.0,373.0,728.0,954.0,1893.0,1566.0,1459.0,1362.0,4386.0,1067.0,158.0,101.0
77201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,0.0,186.0,115.0,251.0,231.0,107.0,316.0,154.0,232.0,176.0,1356.0,230.0,872.0,95.0
77338,11.0,72.0,297.0,338.0,438.0,622.0,697.0,807.0,1200.0,1397.0,4150.0,1518.0,355.0,98.0
77339,27.0,35.0,57.0,292.0,378.0,433.0,440.0,1223.0,1274.0,1275.0,5025.0,2806.0,1924.0,176.0
77345,0.0,16.0,39.0,104.0,213.0,118.0,209.0,298.0,460.0,801.0,1828.0,2124.0,3609.0,78.0
77346,0.0,0.0,48.0,196.0,252.0,395.0,543.0,540.0,742.0,875.0,5196.0,5308.0,3664.0,106.0
77373,24.0,119.0,255.0,359.0,525.0,632.0,378.0,733.0,1101.0,1170.0,7697.0,3567.0,1471.0,162.0
77375,25.0,142.0,390.0,191.0,419.0,361.0,648.0,660.0,930.0,1134.0,3896.0,2803.0,1867.0,192.0
77377,0.0,60.0,164.0,204.0,388.0,273.0,307.0,353.0,665.0,618.0,2462.0,1555.0,2535.0,60.0
77379,8.0,79.0,211.0,298.0,505.0,818.0,857.0,821.0,1054.0,1023.0,4995.0,5552.0,7545.0,144.0
77388,0.0,132.0,95.0,301.0,487.0,516.0,562.0,564.0,308.0,640.0,3802.0,4004.0,2417.0,113.0
77389,0.0,0.0,206.0,154.0,176.0,240.0,136.0,233.0,218.0,323.0,1677.0,1672.0,2887.0,88.0
77396,43.0,83.0,164.0,274.0,705.0,591.0,573.0,700.0,1152.0,927.0,4541.0,2214.0,1811.0,125.0
77401,13.0,0.0,39.0,52.0,67.0,172.0,230.0,160.0,141.0,266.0,922.0,1011.0,3323.0,36.0
77429,11.0,132.0,211.0,370.0,646.0,618.0,577.0,1035.0,1023.0,944.0,5925.0,5688.0,6781.0,219.0
77433,0.0,22.0,90.0,115.0,188.0,238.0,338.0,390.0,312.0,399.0,4933.0,4401.0,5123.0,26.0
77447,11.0,20.0,65.0,190.0,137.0,341.0,248.0,153.0,385.0,264.0,1301.0,544.0,343.0,18.0
77449,42.0,99.0,204.0,309.0,621.0,929.0,901.0,739.0,680.0,1636.0,11841.0,7746.0,1928.0,286.0
77450,0.0,49.0,102.0,318.0,595.0,492.0,691.0,918.0,1290.0,1532.0,5941.0,4737.0,6693.0,309.0
77484,0.0,125.0,194.0,199.0,170.0,133.0,375.0,378.0,189.0,273.0,741.0,368.0,319.0,81.0
77493,0.0,21.0,101.0,159.0,299.0,333.0,346.0,262.0,482.0,368.0,2185.0,1633.0,1093.0,85.0
77502,60.0,152.0,557.0,798.0,866.0,808.0,919.0,973.0,628.0,584.0,3190.0,695.0,122.0,240.0
77503,30.0,154.0,342.0,442.0,593.0,687.0,836.0,744.0,623.0,748.0,2007.0,445.0,51.0,84.0
77504,0.0,129.0,323.0,271.0,479.0,575.0,1126.0,1294.0,892.0,668.0,1896.0,570.0,254.0,111.0
77505,0.0,23.0,95.0,195.0,248.0,392.0,471.0,704.0,511.0,491.0,2144.0,1807.0,1027.0,40.0
77506,32.0,356.0,505.0,814.0,792.0,1169.0,1455.0,1298.0,1127.0,712.0,1651.0,207.0,31.0,150.0
77507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,52.0,379.0,758.0,1003.0,834.0,1002.0,1103.0,925.0,1075.0,991.0,2418.0,853.0,313.0,251.0
77521,82.0,205.0,375.0,631.0,726.0,1648.0,1468.0,1262.0,1279.0,1196.0,4410.0,2642.0,1119.0,290.0
77530,0.0,136.0,356.0,409.0,648.0,521.0,1013.0,811.0,657.0,667.0,2866.0,690.0,248.0,94.0
77532,0.0,167.0,376.0,498.0,442.0,635.0,507.0,672.0,473.0,581.0,2484.0,1585.0,455.0,184.0
77536,0.0,81.0,270.0,338.0,380.0,547.0,811.0,349.0,417.0,443.0,3377.0,2067.0,1250.0,169.0
77547,12.0,173.0,110.0,238.0,280.0,214.0,129.0,120.0,113.0,210.0,853.0,97.0,0.0,179.0
