Zipcode,Median household income in the past 12 months,Total Number of House-hold in the past 12 months,"Total Number of House-hold with Less than $10,000","Total Number of House-hold with an Income of $10,000 to $14,999","Total Number of House-hold with an Income of $15,000 to $19,999","Total Number of House-hold with an Income of $20,000 to $24,999","Total Number of House-hold with an Income of $25,000 to $29,999","Total Number of House-hold with an Income of $30,000 to $34,999","Total Number of House-hold with an Income of $35,000 to $39,999","Total Number of House-hold with an Income of $40,000 to $44,999","Total Number of House-hold with an Income of $45,000 to $49,999","Total Number of House-hold with an Income of $50,000 to $59,999","Total Number of House-hold with an Income of $60,000 to $74,999","Total Number of House-hold with an Income of $75,000 to $99,999","Total Number of House-hold with an Income of $100,000 to $124,999","Total Number of House-hold with an Income of $125,000 to $149,999","Total Number of House-hold with an Income of $150,000 to $199,999","Total Number of House-hold with an Income of $200,000 or more"
77484,60998.0,3571.0,127.0,117.0,146.0,106.0,143.0,261.0,124.0,80.0,202.0,438.0,483.0,487.0,331.0,236.0,140.0,150.0
77493,77272.0,7090.0,195.0,98.0,391.0,237.0,143.0,230.0,227.0,239.0,181.0,558.0,877.0,1630.0,776.0,558.0,431.0,319.0
77502,42939.0,10693.0,918.0,612.0,778.0,769.0,479.0,789.0,638.0,657.0,415.0,1072.0,989.0,1230.0,860.0,292.0,143.0,52.0
77503,42207.0,7659.0,565.0,424.0,576.0,681.0,489.0,485.0,425.0,341.0,423.0,796.0,818.0,852.0,467.0,180.0,103.0,34.0
77504,42226.0,8534.0,545.0,493.0,728.0,517.0,647.0,535.0,607.0,368.0,478.0,1095.0,620.0,853.0,319.0,298.0,312.0,119.0
77505,72172.0,8147.0,342.0,165.0,374.0,193.0,285.0,458.0,352.0,341.0,371.0,528.0,811.0,1238.0,997.0,719.0,561.0,412.0
77506,30590.0,10531.0,1412.0,838.0,991.0,1028.0,888.0,771.0,755.0,572.0,474.0,640.0,846.0,675.0,281.0,100.0,183.0,77.0
77507,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77520,44181.0,11981.0,934.0,835.0,777.0,808.0,892.0,536.0,599.0,697.0,774.0,1166.0,1332.0,1139.0,602.0,368.0,402.0,120.0
77521,57352.0,16905.0,1200.0,658.0,736.0,1056.0,1120.0,776.0,593.0,671.0,615.0,1452.0,1906.0,2184.0,1817.0,754.0,785.0,582.0
77530,43439.0,9018.0,758.0,489.0,493.0,714.0,430.0,901.0,491.0,386.0,277.0,895.0,879.0,982.0,780.0,187.0,287.0,69.0
77532,64317.0,8862.0,555.0,156.0,330.0,375.0,295.0,429.0,423.0,280.0,408.0,732.0,1072.0,1271.0,1010.0,650.0,557.0,319.0
77536,76482.0,10517.0,369.0,171.0,275.0,311.0,349.0,459.0,413.0,450.0,383.0,925.0,962.0,1666.0,1327.0,1028.0,907.0,522.0
77547,40310.0,2751.0,142.0,49.0,279.0,231.0,278.0,108.0,275.0,150.0,115.0,299.0,234.0,472.0,102.0,0.0,17.0,0.0
77562,54504.0,3614.0,154.0,119.0,208.0,121.0,97.0,292.0,240.0,209.0,97.0,497.0,418.0,507.0,190.0,191.0,189.0,85.0
77571,66983.0,12119.0,608.0,362.0,616.0,404.0,426.0,390.0,427.0,608.0,395.0,1066.0,1559.0,1698.0,1672.0,1006.0,669.0,213.0
77586,86474.0,8066.0,269.0,253.0,266.0,219.0,327.0,159.0,277.0,351.0,231.0,668.0,593.0,901.0,908.0,803.0,762.0,1079.0
77587,36420.0,4832.0,392.0,322.0,422.0,428.0,271.0,506.0,252.0,299.0,256.0,286.0,487.0,524.0,169.0,95.0,80.0,43.0
77598,44884.0,9945.0,641.0,430.0,601.0,499.0,776.0,782.0,631.0,628.0,422.0,943.0,1113.0,1428.0,447.0,297.0,155.0,152.0
77002,57165.0,2866.0,283.0,204.0,124.0,33.0,57.0,149.0,117.0,101.0,135.0,258.0,200.0,390.0,267.0,135.0,166.0,247.0
77003,37664.0,4098.0,653.0,355.0,326.0,178.0,230.0,237.0,141.0,83.0,121.0,263.0,288.0,500.0,218.0,204.0,172.0,129.0
77004,39804.0,12361.0,2225.0,1340.0,562.0,573.0,709.0,470.0,312.0,591.0,403.0,810.0,814.0,867.0,798.0,421.0,461.0,1005.0
77005,153041.0,9386.0,222.0,153.0,114.0,236.0,260.0,230.0,156.0,180.0,172.0,354.0,481.0,557.0,834.0,617.0,851.0,3969.0
77006,63360.0,11234.0,871.0,424.0,478.0,503.0,547.0,520.0,375.0,495.0,313.0,710.0,1026.0,1342.0,1040.0,450.0,666.0,1474.0
77007,90860.0,15059.0,753.0,491.0,466.0,472.0,450.0,564.0,399.0,480.0,236.0,926.0,1095.0,1844.0,1821.0,959.0,1626.0,2477.0
77008,65457.0,14368.0,707.0,361.0,626.0,595.0,774.0,684.0,799.0,484.0,417.0,1375.0,956.0,1701.0,1208.0,903.0,1386.0,1392.0
77009,42944.0,14063.0,1563.0,809.0,905.0,1280.0,894.0,961.0,392.0,508.0,658.0,760.0,1155.0,1483.0,878.0,493.0,525.0,799.0
77010,149444.0,244.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,9.0,0.0,21.0,8.0,18.0,16.0,104.0
77011,27458.0,5628.0,623.0,729.0,831.0,340.0,502.0,373.0,390.0,228.0,276.0,372.0,336.0,276.0,117.0,150.0,13.0,72.0
77012,33035.0,6212.0,700.0,588.0,652.0,548.0,380.0,495.0,429.0,352.0,282.0,560.0,420.0,469.0,262.0,46.0,20.0,9.0
77013,39701.0,5425.0,382.0,519.0,540.0,268.0,307.0,357.0,351.0,534.0,187.0,520.0,439.0,507.0,297.0,154.0,29.0,34.0
77014,41429.0,9810.0,767.0,695.0,940.0,801.0,710.0,554.0,274.0,516.0,264.0,1255.0,760.0,1192.0,465.0,288.0,218.0,111.0
77015,45912.0,16404.0,1097.0,704.0,989.0,1218.0,1362.0,960.0,1088.0,664.0,1091.0,1445.0,1933.0,1943.0,1066.0,321.0,351.0,172.0
77016,31067.0,9359.0,1315.0,948.0,850.0,754.0,635.0,735.0,449.0,592.0,426.0,666.0,889.0,644.0,260.0,85.0,82.0,29.0
77017,36796.0,9940.0,841.0,1026.0,749.0,856.0,529.0,691.0,585.0,488.0,354.0,888.0,909.0,1120.0,456.0,242.0,133.0,73.0
77018,59510.0,10965.0,843.0,720.0,413.0,597.0,391.0,639.0,375.0,388.0,297.0,853.0,1258.0,1295.0,703.0,637.0,601.0,955.0
77019,87582.0,10006.0,580.0,374.0,296.0,205.0,309.0,181.0,189.0,351.0,261.0,710.0,869.0,1257.0,916.0,483.0,787.0,2238.0
77020,28217.0,7914.0,1514.0,924.0,628.0,663.0,422.0,468.0,461.0,206.0,358.0,438.0,684.0,598.0,293.0,99.0,27.0,131.0
77021,32096.0,9743.0,1562.0,934.0,841.0,717.0,550.0,509.0,529.0,524.0,423.0,785.0,581.0,683.0,288.0,209.0,186.0,422.0
77022,27895.0,9231.0,1285.0,867.0,1134.0,967.0,573.0,888.0,390.0,373.0,251.0,505.0,917.0,522.0,244.0,172.0,59.0,84.0
77023,37735.0,9462.0,879.0,671.0,864.0,710.0,652.0,655.0,522.0,692.0,446.0,672.0,892.0,798.0,493.0,185.0,244.0,87.0
77024,108068.0,14275.0,284.0,361.0,383.0,342.0,405.0,541.0,343.0,474.0,269.0,756.0,1031.0,1453.0,1278.0,881.0,884.0,4590.0
77025,64202.0,11592.0,914.0,503.0,425.0,584.0,399.0,556.0,391.0,456.0,619.0,602.0,882.0,1360.0,741.0,550.0,908.0,1702.0
77026,20200.0,8049.0,1651.0,1339.0,1001.0,676.0,475.0,541.0,287.0,412.0,179.0,337.0,356.0,516.0,123.0,39.0,94.0,23.0
77027,81202.0,8609.0,312.0,228.0,275.0,248.0,128.0,433.0,264.0,420.0,246.0,636.0,926.0,1024.0,898.0,607.0,693.0,1271.0
77028,31509.0,5619.0,768.0,655.0,466.0,487.0,349.0,336.0,346.0,399.0,349.0,435.0,381.0,359.0,196.0,37.0,40.0,16.0
77029,30811.0,5631.0,842.0,571.0,539.0,361.0,389.0,530.0,359.0,325.0,208.0,628.0,400.0,336.0,29.0,48.0,57.0,9.0
77030,67790.0,5175.0,535.0,54.0,119.0,229.0,155.0,163.0,80.0,226.0,271.0,470.0,365.0,410.0,416.0,299.0,405.0,978.0
77031,41769.0,5760.0,207.0,604.0,289.0,424.0,328.0,294.0,596.0,307.0,207.0,592.0,494.0,680.0,357.0,176.0,159.0,46.0
77032,22389.0,4104.0,987.0,444.0,321.0,514.0,192.0,280.0,206.0,198.0,108.0,244.0,202.0,249.0,59.0,52.0,41.0,7.0
77033,28510.0,8882.0,1268.0,1067.0,936.0,591.0,731.0,694.0,532.0,365.0,259.0,604.0,724.0,533.0,382.0,62.0,95.0,39.0
77034,44519.0,11357.0,662.0,642.0,645.0,689.0,944.0,812.0,712.0,655.0,608.0,1229.0,1377.0,1186.0,701.0,309.0,186.0,0.0
77035,36151.0,13036.0,1301.0,1014.0,955.0,1313.0,850.0,916.0,576.0,554.0,378.0,1143.0,977.0,1059.0,518.0,459.0,623.0,400.0
77036,28175.0,22890.0,2713.0,2305.0,2264.0,2747.0,2216.0,1613.0,1519.0,1228.0,969.0,1418.0,1232.0,1100.0,702.0,193.0,466.0,205.0
77037,34864.0,5047.0,382.0,428.0,360.0,442.0,479.0,442.0,327.0,421.0,169.0,374.0,461.0,442.0,188.0,85.0,38.0,9.0
77038,38746.0,7328.0,504.0,608.0,729.0,447.0,418.0,601.0,506.0,422.0,513.0,573.0,560.0,892.0,227.0,235.0,93.0,0.0
77039,39483.0,7087.0,591.0,599.0,397.0,467.0,634.0,607.0,276.0,579.0,340.0,688.0,916.0,554.0,212.0,100.0,72.0,55.0
77040,53332.0,15439.0,568.0,683.0,573.0,852.0,1137.0,886.0,833.0,636.0,923.0,1700.0,1899.0,1499.0,1149.0,723.0,809.0,569.0
77041,70413.0,11242.0,424.0,395.0,351.0,480.0,506.0,415.0,330.0,746.0,230.0,962.0,1259.0,1518.0,959.0,611.0,796.0,1260.0
77042,46885.0,16838.0,1122.0,906.0,1243.0,926.0,1100.0,1163.0,791.0,941.0,682.0,1339.0,1674.0,1529.0,922.0,688.0,783.0,1029.0
77043,52263.0,7830.0,371.0,477.0,369.0,614.0,527.0,443.0,370.0,296.0,362.0,676.0,742.0,711.0,635.0,418.0,456.0,363.0
77044,66186.0,9186.0,416.0,236.0,445.0,379.0,334.0,440.0,607.0,351.0,268.0,565.0,963.0,1223.0,1009.0,758.0,659.0,533.0
77045,37276.0,9358.0,856.0,654.0,470.0,924.0,759.0,579.0,628.0,654.0,384.0,708.0,975.0,959.0,384.0,204.0,174.0,46.0
77046,85943.0,859.0,26.0,14.0,37.0,29.0,0.0,15.0,20.0,31.0,26.0,38.0,74.0,197.0,28.0,56.0,180.0,88.0
77047,49625.0,7764.0,259.0,406.0,319.0,347.0,456.0,272.0,789.0,647.0,408.0,786.0,794.0,1306.0,605.0,188.0,105.0,77.0
77048,36721.0,5242.0,688.0,344.0,375.0,476.0,318.0,314.0,227.0,260.0,131.0,495.0,600.0,680.0,162.0,106.0,51.0,15.0
77049,50182.0,8433.0,476.0,186.0,380.0,466.0,615.0,390.0,589.0,485.0,606.0,909.0,979.0,1235.0,454.0,335.0,215.0,113.0
77050,46934.0,1298.0,48.0,55.0,123.0,80.0,74.0,133.0,62.0,33.0,80.0,214.0,187.0,116.0,70.0,13.0,0.0,10.0
77051,23481.0,5515.0,1108.0,767.0,520.0,512.0,376.0,409.0,446.0,196.0,216.0,234.0,243.0,305.0,122.0,0.0,26.0,35.0
77054,42447.0,11659.0,2038.0,458.0,427.0,471.0,735.0,528.0,824.0,805.0,559.0,1003.0,1243.0,1411.0,552.0,245.0,146.0,214.0
77055,43470.0,14255.0,1063.0,846.0,1162.0,1229.0,849.0,649.0,801.0,646.0,555.0,951.0,1128.0,1163.0,802.0,402.0,676.0,1333.0
77056,90348.0,9288.0,376.0,285.0,114.0,293.0,190.0,470.0,131.0,377.0,211.0,615.0,979.0,935.0,1134.0,640.0,826.0,1712.0
77057,54614.0,19708.0,1508.0,1087.0,1095.0,1043.0,970.0,932.0,721.0,819.0,858.0,1568.0,2044.0,1934.0,1181.0,1226.0,915.0,1807.0
77058,52861.0,8625.0,506.0,355.0,370.0,586.0,560.0,507.0,416.0,346.0,387.0,856.0,1047.0,974.0,678.0,347.0,458.0,232.0
77059,135394.0,6026.0,59.0,10.0,8.0,22.0,183.0,112.0,114.0,39.0,37.0,108.0,320.0,718.0,944.0,767.0,1010.0,1575.0
77060,28734.0,13165.0,1621.0,1380.0,1359.0,1414.0,1116.0,1019.0,857.0,579.0,632.0,1084.0,782.0,807.0,270.0,83.0,64.0,98.0
77061,31854.0,8482.0,791.0,1067.0,687.0,977.0,481.0,456.0,545.0,429.0,296.0,695.0,477.0,727.0,482.0,182.0,104.0,86.0
77062,88897.0,9627.0,251.0,137.0,176.0,300.0,293.0,379.0,343.0,322.0,291.0,459.0,1039.0,1327.0,1420.0,833.0,1130.0,927.0
77063,50460.0,17527.0,1186.0,662.0,1200.0,1254.0,897.0,863.0,986.0,879.0,752.0,1583.0,1586.0,2107.0,1246.0,657.0,754.0,915.0
77064,64945.0,14989.0,518.0,287.0,356.0,512.0,731.0,981.0,581.0,764.0,831.0,1439.0,1914.0,2266.0,1299.0,989.0,997.0,524.0
77065,56110.0,13852.0,677.0,529.0,648.0,714.0,813.0,795.0,644.0,649.0,616.0,1210.0,1436.0,1699.0,1376.0,868.0,719.0,459.0
77066,61850.0,9506.0,408.0,295.0,445.0,432.0,425.0,465.0,452.0,450.0,495.0,735.0,1156.0,1489.0,999.0,543.0,562.0,155.0
77067,37254.0,8990.0,734.0,644.0,727.0,648.0,723.0,763.0,536.0,613.0,448.0,896.0,769.0,711.0,444.0,100.0,149.0,85.0
77068,73750.0,3643.0,114.0,104.0,161.0,142.0,251.0,82.0,141.0,137.0,72.0,293.0,379.0,455.0,279.0,192.0,367.0,474.0
77069,66856.0,7326.0,392.0,164.0,251.0,246.0,408.0,455.0,200.0,329.0,305.0,711.0,556.0,785.0,568.0,397.0,557.0,1002.0
77070,70634.0,17210.0,564.0,416.0,640.0,535.0,657.0,1182.0,465.0,494.0,685.0,1435.0,2273.0,2461.0,2009.0,1104.0,1170.0,1120.0
77071,44958.0,9492.0,618.0,435.0,639.0,701.0,866.0,517.0,516.0,458.0,478.0,615.0,941.0,902.0,726.0,421.0,436.0,223.0
77072,35763.0,16915.0,1692.0,1178.0,1290.0,1277.0,1392.0,1452.0,1406.0,979.0,1001.0,1096.0,1470.0,1466.0,646.0,276.0,155.0,139.0
77073,50745.0,10872.0,413.0,414.0,644.0,604.0,705.0,551.0,488.0,869.0,607.0,1125.0,1365.0,1691.0,770.0,312.0,101.0,213.0
77074,35154.0,11620.0,1024.0,1267.0,996.0,787.0,822.0,886.0,820.0,793.0,650.0,750.0,857.0,878.0,548.0,166.0,215.0,161.0
77075,47737.0,11615.0,689.0,543.0,438.0,509.0,1124.0,786.0,585.0,765.0,602.0,1089.0,1263.0,1855.0,834.0,98.0,371.0,64.0
77076,32764.0,8958.0,971.0,744.0,737.0,744.0,940.0,623.0,493.0,600.0,397.0,736.0,886.0,575.0,238.0,143.0,71.0,60.0
77077,61702.0,23644.0,1450.0,764.0,900.0,1246.0,1102.0,1336.0,1013.0,1129.0,735.0,2004.0,2109.0,2689.0,1986.0,1450.0,1611.0,2120.0
77078,32441.0,4554.0,779.0,327.0,409.0,304.0,333.0,283.0,313.0,261.0,248.0,309.0,488.0,340.0,79.0,37.0,44.0,0.0
77079,94924.0,11891.0,356.0,185.0,256.0,369.0,278.0,479.0,394.0,515.0,349.0,832.0,720.0,1591.0,1173.0,844.0,1378.0,2172.0
77080,36162.0,14993.0,1053.0,1159.0,1175.0,1339.0,1424.0,1028.0,1008.0,731.0,692.0,1046.0,1463.0,1272.0,696.0,314.0,339.0,254.0
77081,27789.0,15460.0,1845.0,1487.0,1807.0,1537.0,1513.0,1326.0,835.0,642.0,708.0,831.0,1001.0,1101.0,352.0,199.0,159.0,117.0
77082,49962.0,19124.0,1395.0,656.0,1186.0,781.0,954.0,1227.0,1176.0,1160.0,1033.0,1579.0,2160.0,2343.0,1234.0,764.0,649.0,827.0
77083,54639.0,19976.0,1070.0,787.0,766.0,815.0,1224.0,1473.0,1066.0,974.0,1109.0,1587.0,2277.0,2650.0,1737.0,1250.0,780.0,411.0
77084,62248.0,31310.0,977.0,819.0,1269.0,1125.0,2032.0,1553.0,1447.0,1485.0,1423.0,2919.0,3140.0,4905.0,2965.0,1732.0,2236.0,1283.0
77085,51250.0,4629.0,194.0,146.0,285.0,334.0,225.0,229.0,235.0,372.0,264.0,434.0,718.0,596.0,271.0,200.0,91.0,35.0
77086,43665.0,7698.0,790.0,379.0,385.0,502.0,512.0,502.0,298.0,654.0,456.0,632.0,801.0,794.0,493.0,289.0,170.0,41.0
77087,40440.0,10750.0,903.0,582.0,645.0,972.0,642.0,817.0,724.0,915.0,539.0,1117.0,1200.0,1140.0,272.0,115.0,110.0,57.0
77088,41067.0,16019.0,1610.0,1023.0,1052.0,892.0,1225.0,1125.0,849.0,857.0,721.0,1545.0,1776.0,1586.0,867.0,393.0,388.0,110.0
77089,63027.0,16075.0,521.0,558.0,544.0,899.0,632.0,882.0,590.0,844.0,654.0,1478.0,2014.0,2746.0,1413.0,965.0,962.0,373.0
77090,38459.0,13032.0,1086.0,505.0,1150.0,968.0,1393.0,1025.0,524.0,956.0,511.0,985.0,1217.0,1487.0,499.0,215.0,357.0,154.0
77091,29000.0,8328.0,1307.0,1063.0,823.0,457.0,552.0,407.0,434.0,421.0,424.0,468.0,586.0,640.0,307.0,141.0,170.0,128.0
77092,35555.0,12624.0,1005.0,1015.0,1348.0,997.0,734.0,1108.0,836.0,811.0,419.0,980.0,873.0,1090.0,626.0,365.0,269.0,148.0
77093,31550.0,11406.0,1314.0,1144.0,1152.0,897.0,907.0,956.0,664.0,493.0,609.0,957.0,850.0,836.0,379.0,73.0,120.0,55.0
77094,155577.0,2890.0,92.0,0.0,27.0,33.0,27.0,22.0,134.0,59.0,0.0,146.0,66.0,331.0,268.0,194.0,456.0,1035.0
77095,89752.0,22766.0,615.0,370.0,321.0,683.0,707.0,638.0,876.0,869.0,741.0,1857.0,2196.0,2702.0,3194.0,2166.0,2830.0,2001.0
77096,65011.0,13688.0,1094.0,522.0,523.0,517.0,661.0,639.0,626.0,507.0,518.0,1009.0,980.0,1498.0,1198.0,993.0,879.0,1524.0
77098,78652.0,7426.0,340.0,433.0,284.0,138.0,419.0,242.0,312.0,357.0,173.0,466.0,434.0,1111.0,716.0,531.0,695.0,775.0
77099,35879.0,14553.0,1545.0,1028.0,1204.0,1133.0,1010.0,1180.0,786.0,827.0,872.0,1368.0,1307.0,1133.0,548.0,255.0,163.0,194.0
77201,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77336,63347.0,4269.0,226.0,99.0,147.0,351.0,130.0,213.0,226.0,251.0,80.0,296.0,538.0,412.0,461.0,306.0,291.0,242.0
77338,48673.0,11411.0,655.0,565.0,631.0,654.0,599.0,747.0,616.0,775.0,567.0,1083.0,1361.0,1526.0,813.0,355.0,350.0,114.0
77339,71759.0,15294.0,437.0,405.0,461.0,560.0,610.0,635.0,897.0,673.0,595.0,977.0,1647.0,2462.0,1393.0,1114.0,1220.0,1208.0
77345,124055.0,9566.0,130.0,73.0,128.0,206.0,62.0,229.0,198.0,251.0,161.0,379.0,731.0,1273.0,993.0,1057.0,1548.0,2147.0
77346,87508.0,17368.0,341.0,237.0,213.0,336.0,319.0,623.0,469.0,524.0,747.0,1157.0,2056.0,3019.0,2348.0,1937.0,1677.0,1365.0
77373,69604.0,17928.0,682.0,332.0,429.0,561.0,542.0,698.0,554.0,1016.0,846.0,1926.0,2219.0,4080.0,2032.0,870.0,698.0,443.0
77375,61463.0,13307.0,668.0,453.0,529.0,606.0,504.0,461.0,485.0,573.0,748.0,1479.0,1265.0,2118.0,1338.0,877.0,788.0,415.0
77377,96630.0,9284.0,212.0,141.0,278.0,211.0,188.0,424.0,234.0,308.0,90.0,791.0,600.0,1368.0,1453.0,1023.0,854.0,1109.0
77379,100814.0,23709.0,504.0,279.0,418.0,447.0,475.0,546.0,581.0,500.0,816.0,1356.0,1982.0,3834.0,2590.0,2236.0,3360.0,3785.0
77388,81650.0,13757.0,211.0,204.0,318.0,292.0,542.0,240.0,399.0,830.0,356.0,1087.0,1694.0,2384.0,1902.0,1257.0,1288.0,753.0
77389,92689.0,7284.0,196.0,110.0,159.0,228.0,112.0,124.0,83.0,289.0,176.0,502.0,570.0,1290.0,1099.0,574.0,897.0,875.0
77396,58775.0,13206.0,716.0,308.0,404.0,919.0,358.0,962.0,586.0,671.0,674.0,1178.0,1554.0,1793.0,1142.0,641.0,646.0,654.0
77401,147660.0,6481.0,76.0,153.0,99.0,44.0,147.0,73.0,119.0,145.0,169.0,184.0,475.0,578.0,563.0,452.0,748.0,2456.0
77429,96759.0,23632.0,409.0,403.0,424.0,547.0,607.0,586.0,681.0,769.0,737.0,1530.0,2332.0,3194.0,3448.0,2069.0,2673.0,3223.0
77433,92142.0,15083.0,216.0,121.0,481.0,455.0,282.0,310.0,578.0,403.0,582.0,1077.0,1419.0,2278.0,2095.0,1748.0,1627.0,1411.0
77447,65263.0,3848.0,156.0,110.0,146.0,99.0,241.0,191.0,162.0,68.0,149.0,379.0,803.0,537.0,329.0,135.0,195.0,148.0
77449,65445.0,26855.0,982.0,677.0,886.0,1166.0,788.0,1162.0,1113.0,1549.0,1487.0,2454.0,3411.0,4968.0,3260.0,1462.0,811.0,679.0
77450,99575.0,23249.0,805.0,376.0,406.0,803.0,491.0,778.0,582.0,745.0,611.0,1230.0,2000.0,2866.0,3154.0,2209.0,2807.0,3386.0
